Statistical profiling result from isolate-0x103000000-v8.log, (4126 ticks, 516 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    121    2.9%          /usr/lib/system/libsystem_kernel.dylib
     77    1.9%          /usr/lib/system/libsystem_malloc.dylib
     57    1.4%          /usr/lib/system/libsystem_platform.dylib
     15    0.4%          /usr/lib/system/libsystem_c.dylib
     12    0.3%          /usr/lib/system/libsystem_pthread.dylib
      5    0.1%          /usr/lib/libc++abi.dylib
      1    0.0%          /usr/lib/system/libsystem_m.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    485   11.8%   12.6%  LazyCompile: *encode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/base-x/index.js:19:19
     61    1.5%    1.6%  LazyCompile: *iushrn /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:1999:41
     52    1.3%    1.4%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     44    1.1%    1.1%  Builtin: CompileLazy
     32    0.8%    0.8%  Builtin: CallFunction_ReceiverIsAny
     26    0.6%    0.7%  Stub: StringAddStub
     21    0.5%    0.5%  Builtin: Call_ReceiverIsNotNullOrUndefined
     14    0.3%    0.4%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     13    0.3%    0.3%  KeyedLoadIC: A keyed load IC from the snapshot
     13    0.3%    0.3%  Builtin: Call_ReceiverIsAny
     13    0.3%    0.3%  Builtin: ArgumentsAdaptorTrampoline
     12    0.3%    0.3%  Stub: FastNewFunctionContextStub
     10    0.2%    0.3%  Stub: FastNewClosureStub
     10    0.2%    0.3%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/throughs/async-map.js:28:32
     10    0.2%    0.3%  LazyCompile: *nextTick internal/process/next_tick.js:134:20
     10    0.2%    0.3%  LazyCompile: *emit events.js:136:44
     10    0.2%    0.3%  LazyCompile: *Buffer.concat buffer.js:305:25
      9    0.2%    0.2%  LazyCompile: *Readable.read /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:296:36
      8    0.2%    0.2%  Handler: An IC handler from the snapshot {9}
      8    0.2%    0.2%  Builtin: FunctionPrototypeHasInstance
      8    0.2%    0.2%  Builtin: Call_ReceiverIsNullOrUndefined
      8    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      7    0.2%    0.2%  Stub: LoadGlobalICTrampolineStub
      7    0.2%    0.2%  Stub: GrowArrayElementsStub
      7    0.2%    0.2%  Builtin: JSConstructStubGeneric
      6    0.1%    0.2%  Stub: CallConstructStub
      6    0.1%    0.2%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/index.js:59:27
