Statistical profiling result from isolate-0x103000c00-v8.log, (5362 ticks, 650 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    144    2.7%          /usr/lib/system/libsystem_kernel.dylib
    109    2.0%          /usr/lib/system/libsystem_malloc.dylib
     74    1.4%          /usr/lib/system/libsystem_platform.dylib
     23    0.4%          /usr/lib/system/libsystem_pthread.dylib
     22    0.4%          /usr/lib/system/libsystem_c.dylib
      5    0.1%          /usr/lib/libc++abi.dylib
      3    0.1%          /usr/lib/system/libsystem_m.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    276    5.1%    5.5%  LazyCompile: *encode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/base-x/index.js:19:19
     87    1.6%    1.7%  LazyCompile: *iushrn /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:1999:41
     84    1.6%    1.7%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     74    1.4%    1.5%  Builtin: CompileLazy
     42    0.8%    0.8%  Builtin: CallFunction_ReceiverIsAny
     28    0.5%    0.6%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     23    0.4%    0.5%  Stub: FastNewClosureStub
     23    0.4%    0.5%  LazyCompile: *next /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-cat/index.js:20:21
     22    0.4%    0.4%  Stub: StringAddStub
     21    0.4%    0.4%  Builtin: Call_ReceiverIsNotNullOrUndefined
     19    0.4%    0.4%  Stub: FastNewFunctionContextStub
     18    0.3%    0.4%  Builtin: Call_ReceiverIsAny
     15    0.3%    0.3%  LazyCompile: *emit events.js:136:44
     15    0.3%    0.3%  Builtin: ArgumentsAdaptorTrampoline
     14    0.3%    0.3%  Stub: FastArrayPushStub
     14    0.3%    0.3%  Stub: CEntryStub
     13    0.2%    0.3%  LazyCompile: *Uint8ArrayConstructByArrayBuffer native typedarray.js:135:42
     13    0.2%    0.3%  LazyCompile: *<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/index.js:101:23
     13    0.2%    0.3%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     12    0.2%    0.2%  LazyCompile: *source /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-pair/index.js:19:19
     12    0.2%    0.2%  LazyCompile: *Buffer.concat buffer.js:305:25
     11    0.2%    0.2%  LazyCompile: ~Socket._writeGeneric net.js:665:42
     10    0.2%    0.2%  LazyCompile: *readableAddChunk /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:189:26
     10    0.2%    0.2%  LazyCompile: *Hmac crypto.js:87:14
     10    0.2%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot
      9    0.2%    0.2%  Builtin: FunctionPrototypeHasInstance
      9    0.2%    0.2%  Builtin: Call_ReceiverIsNullOrUndefined
      8    0.1%    0.2%  Stub: ToBooleanICStub
      8    0.1%    0.2%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/index.js:59:27
      8    0.1%    0.2%  LazyCompile: *_addListener events.js:210:22
      8    0.1%    0.2%  Builtin: JSConstructStubGeneric
      7    0.1%    0.1%  Stub: LoadGlobalICTrampolineStub
      7    0.1%    0.1%  Stub: JSEntryStub
      7    0.1%    0.1%  Stub: FastCloneShallowArrayStub
      7    0.1%    0.1%  LazyCompile: *drain /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/index.js:32:18
      7    0.1%    0.1%  Handler: length {1}
      7    0.1%    0.1%  Handler: An IC handler from the snapshot {4}
      7    0.1%    0.1%  Builtin: Construct
      6    0.1%    0.1%  Stub: ToIntegerStub
      6    0.1%    0.1%  Stub: HasPropertyStub
      6    0.1%    0.1%  Stub: GrowArrayElementsStub
      6    0.1%    0.1%  Stub: CallConstructStub
      6    0.1%    0.1%  LazyCompile: ~get /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/state.js:27:19
      6    0.1%    0.1%  LazyCompile: *_updatePriority /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/priority.js:85:66
      6    0.1%    0.1%  LazyCompile: *_consume /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/base/parser.js:41:46
      6    0.1%    0.1%  LazyCompile: *ToIndex native runtime.js:16:17
      6    0.1%    0.1%  LazyCompile: *PriorityNode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/priority.js:9:22
      6    0.1%    0.1%  Builtin: ConstructFunction
      5    0.1%    0.1%  LazyCompile: ~fs.readSync fs.js:622:23
      5    0.1%    0.1%  LazyCompile: ~fs.readFileSync fs.js:464:27
      5    0.1%    0.1%  LazyCompile: ~Module._resolveLookupPaths module.js:315:38
      5    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/throughs/async-map.js:28:32
      5    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-length-prefixed/lib/encode.js:27:27
      5    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-cat/index.js:28:35
      5    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-cat/index.js:19:19
      5    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/lodash/_overRest.js:17:18
      5    0.1%    0.1%  LazyCompile: *writeOrBuffer _stream_writable.js:296:23
      5    0.1%    0.1%  LazyCompile: *toArrayLike /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:524:51
      5    0.1%    0.1%  LazyCompile: *normalizeStringPosix path.js:78:30
      5    0.1%    0.1%  LazyCompile: *nextTick internal/process/next_tick.js:134:20
      5    0.1%    0.1%  LazyCompile: *has /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/state.js:23:19
      5    0.1%    0.1%  LazyCompile: *Readable.read /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:296:36
      5    0.1%    0.1%  Handler: An IC handler from the snapshot {1}
      4    0.1%    0.1%  Stub: RegExpExecStub
      4    0.1%    0.1%  Stub: LoadConstantStub {1}
      4    0.1%    0.1%  Stub: GrowArrayElementsStub {1}
      4    0.1%    0.1%  Stub: FastNewStrictArgumentsStub
      4    0.1%    0.1%  LazyCompile: ~drain /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/index.js:139:17
      4    0.1%    0.1%  LazyCompile: *writeOrBuffer /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_writable.js:314:23
      4    0.1%    0.1%  LazyCompile: *test native regexp.js:257:28
      4    0.1%    0.1%  LazyCompile: *readableAddChunk _stream_readable.js:147:26
      4    0.1%    0.1%  LazyCompile: *readUInt32LE /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/obuf/index.js:262:60
      4    0.1%    0.1%  LazyCompile: *onwrite _stream_writable.js:356:17
      4    0.1%    0.1%  LazyCompile: *hash /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-crypto/src/keys/rsa.js:38:8
      4    0.1%    0.1%  LazyCompile: *exec native regexp.js:113:30
      4    0.1%    0.1%  LazyCompile: *add /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-reader/state.js:16:19
      4    0.1%    0.1%  LazyCompile: *_initArray /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:143:49
      4    0.1%    0.1%  LazyCompile: *Stream /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/stream.js:14:16
      4    0.1%    0.1%  LazyCompile: *Socket.write net.js:656:34
      4    0.1%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      4    0.1%    0.1%  Handler: An IC handler from the snapshot {7}
      3    0.1%    0.1%  Stub: ToBooleanICStub {1}
      3    0.1%    0.1%  Stub: SubStringStub
      3    0.1%    0.1%  Stub: RecordWriteStub {17}
      3    0.1%    0.1%  Stub: LoadFieldStub {1}
      3    0.1%    0.1%  Stub: LoadConstantStub {3}
      3    0.1%    0.1%  Stub: GetPropertyStub
      3    0.1%    0.1%  Stub: FastNewObjectStub
      3    0.1%    0.1%  Stub: CompareICStub
      3    0.1%    0.1%  Stub: CallApiCallbackStub {1}
      3    0.1%    0.1%  Stub: CallApiCallbackStub
      3    0.1%    0.1%  LazyCompile: ~setImmediate /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-crypto/src/crypto/hmac.js:13:20
      3    0.1%    0.1%  LazyCompile: ~send /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/stream.js:483:38
      3    0.1%    0.1%  LazyCompile: ~schedule /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/base/scheduler.js:58:49
      3    0.1%    0.1%  LazyCompile: ~runCallback timers.js:643:21
      3    0.1%    0.1%  LazyCompile: ~pull /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/pull.js:3:32
      3    0.1%    0.1%  LazyCompile: ~process /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/async/internal/queue.js:128:27
      3    0.1%    0.1%  LazyCompile: ~encodeInt /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/asn1.js/lib/asn1/encoders/der.js:185:50
      3    0.1%    0.1%  LazyCompile: ~done /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/utils.js:73:16
      3    0.1%    0.1%  LazyCompile: ~decode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/asn1.js/lib/asn1/base/node.js:272:41
      3    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/node_modules/looper/index.js:7:31
      3    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/spdy/framer.js:386:14
      3    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:604:19
      3    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/throughs/map.js:11:28
      3    0.1%    0.1%  LazyCompile: *select /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multistream-select/src/select.js:8:17
      3    0.1%    0.1%  LazyCompile: *s.source /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream-to-stream/index.js:53:23
      3    0.1%    0.1%  LazyCompile: *read /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-defer/source.js:5:23
      3    0.1%    0.1%  LazyCompile: *onwrite /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_writable.js:366:17
      3    0.1%    0.1%  LazyCompile: *ondata stream.js:29:18
      3    0.1%    0.1%  LazyCompile: *ondata /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:543:18
      3    0.1%    0.1%  LazyCompile: *next /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/throughs/async-map.js:11:26
      3    0.1%    0.1%  LazyCompile: *has native collection.js:293:16
      3    0.1%    0.1%  LazyCompile: *forEach native array.js:795:22
      3    0.1%    0.1%  LazyCompile: *equals buffer.js:508:42
      3    0.1%    0.1%  LazyCompile: *encode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multihashes/src/index.js:52:34
      3    0.1%    0.1%  LazyCompile: *digest /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-crypto/src/crypto/hmac.js:9:12
      3    0.1%    0.1%  LazyCompile: *_handleFrame /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/connection.js:268:58
      3    0.1%    0.1%  LazyCompile: *Readable.read _stream_readable.js:271:35
      3    0.1%    0.1%  LazyCompile: *Readable.on /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:666:34
      3    0.1%    0.1%  LazyCompile: *Buffer buffer.js:75:16
      3    0.1%    0.1%  LazyCompile: *<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/index.js:148:30
      3    0.1%    0.1%  LazyCompile: *<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:604:19
      3    0.1%    0.1%  LazyCompile: *<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/lodash/_overRest.js:17:18
      3    0.1%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot {3}
      3    0.1%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot
      3    0.1%    0.1%  Handler: error
      3    0.1%    0.1%  Handler: charCodeAt
      3    0.1%    0.1%  Handler: An IC handler from the snapshot {8}
      3    0.1%    0.1%  Handler: An IC handler from the snapshot {5}
      3    0.1%    0.1%  Handler: An IC handler from the snapshot {2}
      3    0.1%    0.1%  Builtin: MathTrunc
      2    0.0%    0.0%  Stub: ToBooleanICStub(Undefined,SpecObject)
      2    0.0%    0.0%  Stub: ToBooleanICStub(Undefined,Bool,Null)
      2    0.0%    0.0%  Stub: ToBooleanICStub(Bool,Null)
      2    0.0%    0.0%  Stub: StrictEqualStub
      2    0.0%    0.0%  Stub: StoreFieldStub {3}
      2    0.0%    0.0%  Stub: StoreFieldStub {1}
      2    0.0%    0.0%  Stub: RecordWriteStub {6}
      2    0.0%    0.0%  Stub: RecordWriteStub {21}
      2    0.0%    0.0%  Stub: RecordWriteStub {18}
      2    0.0%    0.0%  Stub: RecordWriteStub {16}
      2    0.0%    0.0%  Stub: InstanceOfStub
      2    0.0%    0.0%  Stub: FastCloneShallowObjectStub
      2    0.0%    0.0%  Stub: CompareICStub {3}
      2    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub
      2    0.0%    0.0%  Stub: BinaryOpICStub {1}
      2    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      2    0.0%    0.0%  LazyCompile: ~write /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/utils.js:60:44
      2    0.0%    0.0%  LazyCompile: ~tickAsync /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/base/scheduler.js:135:51
      2    0.0%    0.0%  LazyCompile: ~slowToString buffer.js:428:22
      2    0.0%    0.0%  LazyCompile: ~skip /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/wbuf/index.js:142:36
